1/10                     1/10 -1.734046e-02
leaves                 leaves  5.085760e-03
realistic           realistic  5.089388e-03
films                   films  5.093355e-03
deep                     deep  5.094846e-03
ned                       ned  5.102144e-03
attempts             attempts  5.102586e-03
quickly               quickly  5.105103e-03
rich                     rich  5.114204e-03
over-the-top     over-the-top  5.120389e-03
age                       age  5.121723e-03
contains             contains  5.123092e-03
upon                     upon  5.128921e-03
building             building  5.136148e-03
batman                 batman  5.140920e-03
starred               starred  5.143590e-03
chosen                 chosen  5.144815e-03
takes                   takes  5.145586e-03
foreign               foreign  5.146310e-03
amongst               amongst  5.155720e-03
oddly                   oddly  5.158060e-03
her                       her  5.169874e-03
changed               changed  5.172116e-03
tom                       tom  5.173667e-03
became                 became  5.175015e-03
lighting             lighting  5.176756e-03
similar               similar  5.177415e-03
ways                     ways  5.177752e-03
mike                     mike  5.179460e-03
office                 office  5.180756e-03
process               process  5.182097e-03
casting               casting  5.187429e-03
director's         director's  5.187696e-03
received             received  5.194252e-03
fairly                 fairly  5.197395e-03
fate                     fate  5.197788e-03
helping               helping  5.197933e-03
closing               closing  5.205870e-03
arthur                 arthur  5.209599e-03
obsessed             obsessed  5.209810e-03
pictures             pictures  5.209815e-03
true                     true  5.210238e-03
fresh                   fresh  5.217586e-03
lisa                     lisa  5.236049e-03
agent                   agent  5.238431e-03
heroine               heroine  5.240063e-03
bob                       bob  5.241227e-03
maria                   maria  5.241673e-03
has                       has  5.244047e-03
boat                     boat  5.244113e-03
brad                     brad  5.245042e-03
bringing             bringing  5.250844e-03
touch                   touch  5.254716e-03
ryan                     ryan  5.258525e-03
force                   force  5.261646e-03
well                     well  5.263906e-03
towards               towards  5.265463e-03
repeated             repeated  5.269419e-03
serial                 serial  5.276553e-03
turns                   turns  5.278735e-03
70s                       70s  5.285641e-03
most                     most  5.288442e-03
professor           professor  5.290231e-03
further               further  5.292209e-03
filled                 filled  5.298585e-03
whilst                 whilst  5.301764e-03
showing               showing  5.308012e-03
vote                     vote  5.318359e-03
sing                     sing  5.321980e-03
picture               picture  5.323293e-03
footage               footage  5.330417e-03
party                   party  5.332320e-03
asks                     asks  5.338121e-03
man                       man  5.342666e-03
during                 during  5.349861e-03
loss                     loss  5.350166e-03
genuinely           genuinely  5.355761e-03
older                   older  5.356493e-03
experienced       experienced  5.363037e-03
revenge               revenge  5.368444e-03
easy                     easy  5.368586e-03
favorites           favorites  5.375131e-03
set                       set  5.377824e-03
hero                     hero  5.378794e-03
youth                   youth  5.386323e-03
event                   event  5.406602e-03
everyday             everyday  5.409686e-03
own                       own  5.410380e-03
sudden                 sudden  5.416602e-03
exception           exception  5.417326e-03
subtitles           subtitles  5.419132e-03
simple                 simple  5.421457e-03
clark                   clark  5.422271e-03
keeping               keeping  5.422370e-03
vs                         vs  5.424382e-03
criminal             criminal  5.424455e-03
past                     past  5.427958e-03
unlikely             unlikely  5.428750e-03
filmed                 filmed  5.429746e-03
print                   print  5.439147e-03
initially           initially  5.441593e-03
moments               moments  5.441934e-03
hunter                 hunter  5.442731e-03
playing               playing  5.443258e-03
comic                   comic  5.443479e-03
late                     late  5.449986e-03
generation         generation  5.452261e-03
younger               younger  5.452681e-03
children's         children's  5.454923e-03
and                       and  5.457149e-03
bill                     bill  5.461102e-03
difficult           difficult  5.466054e-03
rock                     rock  5.474292e-03
follow                 follow  5.475115e-03
gang                     gang  5.475383e-03
closer                 closer  5.477014e-03
always                 always  5.480108e-03
breath                 breath  5.480762e-03
each                     each  5.481501e-03
johnny                 johnny  5.484879e-03
two                       two  5.485491e-03
different           different  5.487684e-03
viewers               viewers  5.488631e-03
later                   later  5.492280e-03
sweet                   sweet  5.493730e-03
previous             previous  5.495590e-03
placed                 placed  5.496306e-03
amusing               amusing  5.499656e-03
desire                 desire  5.503286e-03
tension               tension  5.523248e-03
view                     view  5.524623e-03
discovered         discovered  5.530036e-03
fu                         fu  5.530753e-03
places                 places  5.534675e-03
excitement         excitement  5.536502e-03
which                   which  5.549657e-03
sexy                     sexy  5.559186e-03
violence             violence  5.560869e-03
legend                 legend  5.571174e-03
within                 within  5.576647e-03
expert                 expert  5.578570e-03
speech                 speech  5.579327e-03
often                   often  5.581597e-03
flashbacks         flashbacks  5.583102e-03
1970                     1970  5.585669e-03
fights                 fights  5.587823e-03
considered         considered  5.600305e-03
hitchcock           hitchcock  5.600458e-03
creative             creative  5.601583e-03
carrying             carrying  5.604830e-03
c                           c  5.608877e-03
path                     path  5.614493e-03
rule                     rule  5.624912e-03
titles                 titles  5.627331e-03
feelings             feelings  5.631606e-03
talents               talents  5.632126e-03
books                   books  5.633846e-03
peace                   peace  5.635292e-03
classics             classics  5.636344e-03
charlie               charlie  5.636735e-03
plots                   plots  5.649745e-03
company               company  5.650485e-03
lee                       lee  5.651198e-03
acts                     acts  5.651908e-03
constantly         constantly  5.657780e-03
comical               comical  5.663834e-03
control               control  5.664967e-03
green                   green  5.666389e-03
professional     professional  5.677573e-03
based                   based  5.688214e-03
wedding               wedding  5.690677e-03
behavior             behavior  5.691588e-03
presentation     presentation  5.693416e-03
rarely                 rarely  5.699014e-03
actress               actress  5.702791e-03
entirely             entirely  5.712389e-03
friendly             friendly  5.715728e-03
factor                 factor  5.720961e-03
southern             southern  5.725329e-03
aspect                 aspect  5.731744e-03
character's       character's  5.744247e-03
white                   white  5.745367e-03
three                   three  5.748378e-03
sam                       sam  5.759174e-03
large                   large  5.760118e-03
flow                     flow  5.760661e-03
north                   north  5.771801e-03
book                     book  5.774731e-03
1/2                       1/2  5.778879e-03
included             included  5.779421e-03
ii                         ii  5.787534e-03
soon                     soon  5.793886e-03
its                       its  5.810785e-03
w                           w  5.813807e-03
appears               appears  5.824997e-03
radio                   radio  5.833962e-03
original             original  5.838295e-03
strangely           strangely  5.840173e-03
quiet                   quiet  5.847120e-03
provide               provide  5.852216e-03
aware                   aware  5.852540e-03
humanity             humanity  5.855142e-03
fairy                   fairy  5.857044e-03
broken                 broken  5.858419e-03
japanese             japanese  5.866045e-03
however               however  5.867868e-03
escapes               escapes  5.868452e-03
escape                 escape  5.869215e-03
recent                 recent  5.870595e-03
appreciated       appreciated  5.875037e-03
stops                   stops  5.878382e-03
moves                   moves  5.880773e-03
model                   model  5.882016e-03
disappointing   disappointing  5.883164e-03
become                 become  5.885501e-03
cinema                 cinema  5.886078e-03
intellectual     intellectual  5.886556e-03
ages                     ages  5.888407e-03
shakespeare       shakespeare  5.894871e-03
insight               insight  5.895492e-03
surface               surface  5.899519e-03
paced                   paced  5.901538e-03
studios               studios  5.911055e-03
criminals           criminals  5.915323e-03
men                       men  5.916355e-03
lies                     lies  5.916775e-03
lover                   lover  5.921890e-03
features             features  5.938802e-03
capable               capable  5.943035e-03
typical               typical  5.944546e-03
candy                   candy  5.954005e-03
opposite             opposite  5.956651e-03
number                 number  5.957445e-03
alice                   alice  5.959665e-03
commentary         commentary  5.962216e-03
jones                   jones  5.966524e-03
julie                   julie  5.969361e-03
fiction               fiction  5.974426e-03
shown                   shown  5.986061e-03
toward                 toward  5.993056e-03
merely                 merely  5.997907e-03
california         california  5.999105e-03
ms                         ms  5.999873e-03
pair                     pair  6.000676e-03
naturally           naturally  6.012014e-03
appropriate       appropriate  6.014043e-03
uncle                   uncle  6.015042e-03
fabulous             fabulous  6.019944e-03
serves                 serves  6.030604e-03
raised                 raised  6.041725e-03
dark                     dark  6.042399e-03
jackson               jackson  6.050315e-03
appearance         appearance  6.054391e-03
lady                     lady  6.054476e-03
pacino                 pacino  6.056671e-03
beach                   beach  6.059136e-03
worthy                 worthy  6.059226e-03
location             location  6.061725e-03
wise                     wise  6.061741e-03
cat                       cat  6.072895e-03
welcome               welcome  6.075117e-03
meets                   meets  6.093218e-03
fear                     fear  6.094283e-03
the                       the  6.094930e-03
proved                 proved  6.096402e-03
quite                   quite  6.098180e-03
great                   great  6.103875e-03
criticism           criticism  6.106299e-03
known                   known  6.106483e-03
new                       new  6.116544e-03
described           described  6.118270e-03
nevertheless     nevertheless  6.127752e-03
context               context  6.132439e-03
fortunately       fortunately  6.133316e-03
combined             combined  6.137394e-03
basis                   basis  6.137886e-03
previously         previously  6.140585e-03
seven                   seven  6.141791e-03
born                     born  6.155856e-03
situation           situation  6.157314e-03
music                   music  6.162973e-03
background         background  6.163623e-03
refreshing         refreshing  6.168663e-03
jeff                     jeff  6.171981e-03
proves                 proves  6.177932e-03
puts                     puts  6.183231e-03
ordinary             ordinary  6.184183e-03
mainly                 mainly  6.185327e-03
morgan                 morgan  6.185878e-03
travel                 travel  6.188691e-03
despite               despite  6.195901e-03
area                     area  6.213190e-03
country               country  6.215947e-03
portray               portray  6.217241e-03
play                     play  6.234953e-03
extra                   extra  6.237050e-03
reveal                 reveal  6.239785e-03
joe                       joe  6.240174e-03
essentially       essentially  6.243829e-03
terms                   terms  6.244451e-03
status                 status  6.249370e-03
action                 action  6.256226e-03
rachel                 rachel  6.259740e-03
determined         determined  6.266670e-03
loves                   loves  6.268869e-03
keeps                   keeps  6.279879e-03
thus                     thus  6.282395e-03
information       information  6.290189e-03
fare                     fare  6.291298e-03
latest                 latest  6.292634e-03
working               working  6.294886e-03
hitler                 hitler  6.296216e-03
hospital             hospital  6.298278e-03
adding                 adding  6.302582e-03
secret                 secret  6.303652e-03
brother               brother  6.307459e-03
suspects             suspects  6.310159e-03
world                   world  6.310996e-03
by                         by  6.311726e-03
grand                   grand  6.313252e-03
combination       combination  6.313578e-03
genre                   genre  6.338441e-03
developed           developed  6.339591e-03
sir                       sir  6.347050e-03
american             american  6.350911e-03
singing               singing  6.353709e-03
dealing               dealing  6.355104e-03
mirror                 mirror  6.361178e-03
shadow                 shadow  6.369922e-03
especially         especially  6.378262e-03
system                 system  6.380109e-03
touching             touching  6.381329e-03
dirty                   dirty  6.384752e-03
helped                 helped  6.399207e-03
finds                   finds  6.408370e-03
majority             majority  6.409487e-03
code                     code  6.410409e-03
very                     very  6.422228e-03
ice                       ice  6.423700e-03
60s                       60s  6.427425e-03
drawn                   drawn  6.432189e-03
julia                   julia  6.438344e-03
erotic                 erotic  6.439627e-03
opens                   opens  6.452192e-03
general               general  6.452399e-03
bruce                   bruce  6.455113e-03
lead                     lead  6.456162e-03
aka                       aka  6.459880e-03
throughout         throughout  6.461472e-03
comedic               comedic  6.462800e-03
variety               variety  6.465214e-03
wears                   wears  6.465385e-03
artistic             artistic  6.468007e-03
relief                 relief  6.469588e-03
families             families  6.470714e-03
police                 police  6.473496e-03
church                 church  6.474493e-03
graphic               graphic  6.486992e-03
g                           g  6.502523e-03
usa                       usa  6.514678e-03
spanish               spanish  6.516961e-03
visit                   visit  6.520283e-03
songs                   songs  6.523263e-03
brought               brought  6.530796e-03
dangerous           dangerous  6.533904e-03
executed             executed  6.535135e-03
dancing               dancing  6.535792e-03
daughter             daughter  6.542499e-03
town                     town  6.543004e-03
magical               magical  6.548757e-03
overly                 overly  6.548902e-03
silent                 silent  6.549064e-03
states                 states  6.552053e-03
himself               himself  6.554561e-03
human                   human  6.562061e-03
fits                     fits  6.564386e-03
lawyer                 lawyer  6.566207e-03
beloved               beloved  6.572626e-03
jimmy                   jimmy  6.573016e-03
tells                   tells  6.573545e-03
wild                     wild  6.576956e-03
rescue                 rescue  6.582625e-03
business             business  6.582626e-03
matt                     matt  6.584393e-03
growing               growing  6.598899e-03
range                   range  6.610713e-03
brothers             brothers  6.622489e-03
star                     star  6.624880e-03
russian               russian  6.628653e-03
recognize           recognize  6.639884e-03
incredible         incredible  6.654605e-03
andy                     andy  6.660734e-03
brief                   brief  6.660953e-03
thriller             thriller  6.662602e-03
final                   final  6.676700e-03
attractive         attractive  6.677818e-03
hardy                   hardy  6.678955e-03
manner                 manner  6.680505e-03
result                 result  6.682228e-03
universal           universal  6.686465e-03
wins                     wins  6.688352e-03
is                         is  6.694848e-03
cameo                   cameo  6.698150e-03
williams             williams  6.699086e-03
understanding   understanding  6.719502e-03
inspiration       inspiration  6.721737e-03
touches               touches  6.728132e-03
adventures         adventures  6.733824e-03
psychological   psychological  6.735670e-03
works                   works  6.742862e-03
private               private  6.751208e-03
overall               overall  6.752357e-03
hall                     hall  6.754235e-03
although             although  6.758743e-03
various               various  6.760863e-03
mature                 mature  6.763549e-03
spite                   spite  6.763963e-03
fully                   fully  6.771147e-03
aspects               aspects  6.788889e-03
lewis                   lewis  6.792094e-03
featuring           featuring  6.793573e-03
disney                 disney  6.796649e-03
remain                 remain  6.800627e-03
dean                     dean  6.801246e-03
burt                     burt  6.801887e-03
becomes               becomes  6.804642e-03
succeeds             succeeds  6.810074e-03
details               details  6.813422e-03
dated                   dated  6.816051e-03
soldier               soldier  6.819680e-03
japan                   japan  6.824646e-03
army                     army  6.826898e-03
particular         particular  6.831207e-03
guard                   guard  6.838383e-03
side                     side  6.842439e-03
changes               changes  6.843589e-03
study                   study  6.844595e-03
chris                   chris  6.864141e-03
believes             believes  6.865448e-03
hidden                 hidden  6.866621e-03
convey                 convey  6.869421e-03
politics             politics  6.878499e-03
thoroughly         thoroughly  6.886194e-03
meanwhile           meanwhile  6.890909e-03
emotionally       emotionally  6.891445e-03
four                     four  6.901513e-03
career                 career  6.904719e-03
grace                   grace  6.907265e-03
sean                     sean  6.910448e-03
gangster             gangster  6.910683e-03
continues           continues  6.913026e-03
villain               villain  6.915982e-03
song                     song  6.918635e-03
provided             provided  6.921800e-03
simon                   simon  6.925114e-03
birth                   birth  6.931358e-03
audiences           audiences  6.934896e-03
english               english  6.937702e-03
mark                     mark  6.940966e-03
victor                 victor  6.941581e-03
fellow                 fellow  6.947708e-03
allen                   allen  6.949044e-03
pleasant             pleasant  6.949999e-03
romantic             romantic  6.957439e-03
susan                   susan  6.957517e-03
chase                   chase  6.965371e-03
justice               justice  6.966898e-03
element               element  6.970898e-03
language             language  6.973533e-03
directed             directed  6.978641e-03
stands                 stands  6.978903e-03
as                         as  6.979222e-03
loses                   loses  6.979617e-03
against               against  6.981636e-03
mary                     mary  6.983197e-03
rough                   rough  6.988755e-03
efforts               efforts  6.991743e-03
technical           technical  6.992577e-03
lives                   lives  6.992839e-03
suffers               suffers  7.000035e-03
design                 design  7.012437e-03
martin                 martin  7.012473e-03
rules                   rules  7.013738e-03
future                 future  7.015963e-03
tales                   tales  7.016669e-03
kim                       kim  7.027111e-03
uses                     uses  7.029339e-03
viewed                 viewed  7.033322e-03
believable         believable  7.040950e-03
numerous             numerous  7.051722e-03
stories               stories  7.057895e-03
surprisingly     surprisingly  7.060718e-03
protagonist       protagonist  7.084494e-03
serve                   serve  7.088275e-03
falling               falling  7.098278e-03
lonely                 lonely  7.104452e-03
image                   image  7.107413e-03
light                   light  7.114441e-03
gordon                 gordon  7.121799e-03
dramatic             dramatic  7.125588e-03
drama                   drama  7.131881e-03
ultimate             ultimate  7.135209e-03
story                   story  7.147097e-03
president           president  7.148924e-03
direction           direction  7.149159e-03
relatively         relatively  7.156488e-03
created               created  7.158648e-03
somewhat             somewhat  7.162292e-03
detail                 detail  7.162926e-03
bbc                       bbc  7.165714e-03
emotions             emotions  7.176721e-03
regarding           regarding  7.193536e-03
results               results  7.195138e-03
sequence             sequence  7.196249e-03
ultimately         ultimately  7.198451e-03
pacing                 pacing  7.200807e-03
presented           presented  7.201214e-03
lacks                   lacks  7.217491e-03
germany               germany  7.227559e-03
gold                     gold  7.230931e-03
unusual               unusual  7.231108e-03
terror                 terror  7.237274e-03
husband               husband  7.247474e-03
universe             universe  7.248301e-03
position             position  7.250786e-03
romance               romance  7.252054e-03
extras                 extras  7.258226e-03
invisible           invisible  7.261066e-03
featured             featured  7.268496e-03
wars                     wars  7.272793e-03
intriguing         intriguing  7.274562e-03
daily                   daily  7.278806e-03
search                 search  7.283528e-03
mystery               mystery  7.296146e-03
trapped               trapped  7.297596e-03
mother                 mother  7.311604e-03
masterpiece       masterpiece  7.313506e-03
treasure             treasure  7.313732e-03
early                   early  7.313940e-03
also                     also  7.314035e-03
frightening       frightening  7.317899e-03
spirit                 spirit  7.329407e-03
claire                 claire  7.340721e-03
wit                       wit  7.343476e-03
son                       son  7.344297e-03
played                 played  7.345817e-03
fame                     fame  7.350791e-03
thomas                 thomas  7.351668e-03
subject               subject  7.352737e-03
earlier               earlier  7.355574e-03
offers                 offers  7.361003e-03
david                   david  7.367276e-03
flashback           flashback  7.367626e-03
episodes             episodes  7.369068e-03
apartment           apartment  7.371328e-03
confusion           confusion  7.376615e-03
violent               violent  7.381457e-03
community           community  7.386151e-03
complicated       complicated  7.386513e-03
childhood           childhood  7.386548e-03
san                       san  7.390388e-03
convincing         convincing  7.391066e-03
season                 season  7.397431e-03
whom                     whom  7.401338e-03
modern                 modern  7.403706e-03
personality       personality  7.403984e-03
team                     team  7.408360e-03
energy                 energy  7.408630e-03
sent                     sent  7.409578e-03
reputation         reputation  7.419183e-03
opera                   opera  7.422799e-03
ship                     ship  7.424601e-03
land                     land  7.432785e-03
hotel                   hotel  7.438528e-03
focused               focused  7.439826e-03
rights                 rights  7.441188e-03
magic                   magic  7.449488e-03
returns               returns  7.452361e-03
unique                 unique  7.462612e-03
personal             personal  7.464084e-03
murderer             murderer  7.466505e-03
foster                 foster  7.466997e-03
initial               initial  7.469209e-03
joan                     joan  7.477756e-03
figures               figures  7.481123e-03
attitude             attitude  7.482497e-03
anime                   anime  7.487665e-03
7/10                     7/10  7.487797e-03
occasional         occasional  7.495518e-03
witty                   witty  7.506262e-03
studio                 studio  7.508179e-03
stays                   stays  7.512263e-03
family                 family  7.514327e-03
indeed                 indeed  7.515743e-03
limited               limited  7.524264e-03
deeper                 deeper  7.540189e-03
influence           influence  7.541730e-03
decision             decision  7.543360e-03
emotional           emotional  7.543532e-03
discovers           discovers  7.546180e-03
gives                   gives  7.547551e-03
mr                         mr  7.550785e-03
views                   views  7.551759e-03
third                   third  7.552888e-03
cold                     cold  7.563458e-03
scenery               scenery  7.565155e-03
media                   media  7.570356e-03
wide                     wide  7.579835e-03
innocent             innocent  7.579932e-03
decades               decades  7.590414e-03
gary                     gary  7.591305e-03
government         government  7.594262e-03
flaws                   flaws  7.595045e-03
sides                   sides  7.603474e-03
paul                     paul  7.613490e-03
marry                   marry  7.614258e-03
performed           performed  7.622110e-03
young                   young  7.622957e-03
thrilling           thrilling  7.633085e-03
classic               classic  7.645470e-03
marie                   marie  7.651929e-03
his                       his  7.652902e-03
elements             elements  7.656971e-03
necessary           necessary  7.659275e-03
visuals               visuals  7.661180e-03
european             european  7.663438e-03
j                           j  7.664761e-03
villains             villains  7.667196e-03
native                 native  7.678319e-03
h                           h  7.682227e-03
award                   award  7.685885e-03
edward                 edward  7.691378e-03
significant       significant  7.694568e-03
narrative           narrative  7.697531e-03
theme                   theme  7.708302e-03
usual                   usual  7.708378e-03
obsession           obsession  7.711679e-03
sets                     sets  7.733145e-03
michael               michael  7.736714e-03
society               society  7.738452e-03
approach             approach  7.742722e-03
vision                 vision  7.742868e-03
fantasy               fantasy  7.750410e-03
genuine               genuine  7.765003e-03
fox                       fox  7.768854e-03
hunt                     hunt  7.772277e-03
sensitive           sensitive  7.774340e-03
angle                   angle  7.784594e-03
academy               academy  7.797626e-03
task                     task  7.800482e-03
appealing           appealing  7.816450e-03
aunt                     aunt  7.821370e-03
rain                     rain  7.822317e-03
streets               streets  7.824532e-03
popular               popular  7.829948e-03
kong                     kong  7.831283e-03
kung                     kung  7.832892e-03
edge                     edge  7.834018e-03
source                 source  7.835154e-03
sees                     sees  7.843929e-03
wife                     wife  7.844019e-03
voice                   voice  7.846554e-03
best                     best  7.852262e-03
unlike                 unlike  7.853880e-03
famous                 famous  7.858271e-03
timing                 timing  7.869411e-03
period                 period  7.871950e-03
important           important  7.888475e-03
york                     york  7.891389e-03
beast                   beast  7.899964e-03
format                 format  7.910815e-03
richard               richard  7.921203e-03
include               include  7.927008e-03
danger                 danger  7.928498e-03
alan                     alan  7.933641e-03
leads                   leads  7.945282e-03
south                   south  7.948202e-03
nature                 nature  7.962177e-03
murders               murders  7.967752e-03
members               members  7.970559e-03
struggling         struggling  7.971070e-03
raw                       raw  7.983367e-03
nonetheless       nonetheless  7.992475e-03
joy                       joy  7.994986e-03
arrives               arrives  8.011317e-03
introduced         introduced  8.018633e-03
pace                     pace  8.036037e-03
today's               today's  8.043604e-03
chinese               chinese  8.045479e-03
amazing               amazing  8.057638e-03
sword                   sword  8.059467e-03
dance                   dance  8.061759e-03
surprising         surprising  8.063358e-03
officer               officer  8.063700e-03
moore                   moore  8.070650e-03
rise                     rise  8.108078e-03
cast                     cast  8.112921e-03
return                 return  8.116629e-03
both                     both  8.131708e-03
chemistry           chemistry  8.137254e-03
highly                 highly  8.163799e-03
frequently         frequently  8.180109e-03
hoffman               hoffman  8.180664e-03
cinematography cinematography  8.194363e-03
affair                 affair  8.194458e-03
department         department  8.195495e-03
fred                     fred  8.203107e-03
protect               protect  8.215486e-03
spectacular       spectacular  8.215997e-03
form                     form  8.222582e-03
visual                 visual  8.226011e-03
actions               actions  8.227256e-03
moral                   moral  8.228589e-03
boss                     boss  8.236186e-03
introduction     introduction  8.237730e-03
london                 london  8.237903e-03
city                     city  8.239288e-03
unexpected         unexpected  8.240693e-03
successful         successful  8.279091e-03
realizes             realizes  8.282529e-03
crime                   crime  8.285213e-03
encounter           encounter  8.285796e-03
capture               capture  8.295177e-03
jack                     jack  8.297279e-03
page                     page  8.297865e-03
england               england  8.301882e-03
score                   score  8.308412e-03
led                       led  8.326200e-03
naive                   naive  8.326358e-03
loving                 loving  8.331402e-03
partner               partner  8.332992e-03
style                   style  8.345735e-03
brings                 brings  8.347428e-03
jr                         jr  8.364158e-03
inner                   inner  8.365276e-03
viewer                 viewer  8.375577e-03
burns                   burns  8.382033e-03
handled               handled  8.384962e-03
prime                   prime  8.432274e-03
devil                   devil  8.446426e-03
louis                   louis  8.453631e-03
mansion               mansion  8.468440e-03
color                   color  8.476091e-03
recommended       recommended  8.483375e-03
warm                     warm  8.486861e-03
theatrical         theatrical  8.493762e-03
angles                 angles  8.501556e-03
paris                   paris  8.505903e-03
epic                     epic  8.507075e-03
anger                   anger  8.528460e-03
starring             starring  8.537118e-03
marriage             marriage  8.543588e-03
strength             strength  8.547465e-03
miles                   miles  8.551467e-03
grim                     grim  8.552853e-03
perfect               perfect  8.553177e-03
fine                     fine  8.554716e-03
interpretation interpretation  8.557089e-03
passion               passion  8.565426e-03
largely               largely  8.574043e-03
german                 german  8.575145e-03
exciting             exciting  8.582583e-03
losing                 losing  8.585646e-03
witness               witness  8.599366e-03
captured             captured  8.599534e-03
solid                   solid  8.601139e-03
accurate             accurate  8.606113e-03
focus                   focus  8.607145e-03
deals                   deals  8.607211e-03
charming             charming  8.622359e-03
subtle                 subtle  8.630419e-03
events                 events  8.638260e-03
trek                     trek  8.642795e-03
including           including  8.644958e-03
leading               leading  8.648973e-03
sinatra               sinatra  8.664295e-03
demons                 demons  8.672314e-03
focuses               focuses  8.693537e-03
central               central  8.697964e-03
favourite           favourite  8.698869e-03
1950                     1950  8.705179e-03
balance               balance  8.705567e-03
):                         ):  8.715880e-03
brutal                 brutal  8.725546e-03
eight                   eight  8.725970e-03
presents             presents  8.735353e-03
broadway             broadway  8.747367e-03
climax                 climax  8.747496e-03
center                 center  8.748638e-03
lord                     lord  8.751662e-03
portrayed           portrayed  8.753495e-03
success               success  8.754328e-03
relationship     relationship  8.757764e-03
tragic                 tragic  8.765279e-03
indian                 indian  8.768089e-03
moving                 moving  8.774321e-03
portraying         portraying  8.778461e-03
artist                 artist  8.784421e-03
traditional       traditional  8.790447e-03
highlight           highlight  8.793240e-03
beautiful           beautiful  8.796496e-03
washington         washington  8.822008e-03
daughters           daughters  8.832995e-03
humorous             humorous  8.834808e-03
settings             settings  8.840909e-03
successfully     successfully  8.850296e-03
anne                     anne  8.861113e-03
individual         individual  8.863864e-03
stage                   stage  8.864638e-03
complex               complex  8.900906e-03
west                     west  8.909574e-03
latter                 latter  8.914237e-03
bourne                 bourne  8.936877e-03
power                   power  8.938749e-03
support               support  8.943995e-03
meeting               meeting  8.947485e-03
robert                 robert  8.948229e-03
physical             physical  8.950607e-03
personalities   personalities  8.959529e-03
sinister             sinister  8.960201e-03
delight               delight  8.960376e-03
africa                 africa  8.961911e-03
plays                   plays  8.964711e-03
photography       photography  8.978469e-03
begins                 begins  8.978914e-03
journey               journey  8.979147e-03
western               western  8.987383e-03
george                 george  8.996707e-03
skill                   skill  9.002764e-03
history               history  9.026349e-03
italian               italian  9.030956e-03
jungle                 jungle  9.034240e-03
particularly     particularly  9.040701e-03
african               african  9.049880e-03
sequences           sequences  9.065109e-03
happiness           happiness  9.073613e-03
scott                   scott  9.075338e-03
setting               setting  9.077171e-03
howard                 howard  9.079340e-03
ring                     ring  9.093163e-03
fourth                 fourth  9.096543e-03
irish                   irish  9.113660e-03
de                         de  9.126051e-03
whose                   whose  9.138134e-03
learns                 learns  9.145011e-03
dr                         dr  9.156757e-03
numbers               numbers  9.169260e-03
novels                 novels  9.170763e-03
adventure           adventure  9.204371e-03
nation                 nation  9.207176e-03
john                     john  9.213816e-03
forces                 forces  9.214669e-03
french                 french  9.217103e-03
perspective       perspective  9.227651e-03
minor                   minor  9.237496e-03
treatment           treatment  9.241586e-03
authentic           authentic  9.279163e-03
wind                     wind  9.281146e-03
friendship         friendship  9.296047e-03
patrick               patrick  9.296268e-03
charm                   charm  9.303976e-03
killers               killers  9.319809e-03
oscar                   oscar  9.325741e-03
owner                   owner  9.329532e-03
max                       max  9.334969e-03
pitt                     pitt  9.353568e-03
chilling             chilling  9.354637e-03
images                 images  9.356287e-03
likable               likable  9.364910e-03
equally               equally  9.372897e-03
adds                     adds  9.374063e-03
eric                     eric  9.374844e-03
rose                     rose  9.401642e-03
roles                   roles  9.404614e-03
father                 father  9.407682e-03
king                     king  9.410281e-03
johnson               johnson  9.410532e-03
golden                 golden  9.410631e-03
honor                   honor  9.428076e-03
remains               remains  9.432071e-03
follows               follows  9.434288e-03
fascinating       fascinating  9.438656e-03
ann                       ann  9.452431e-03
law                       law  9.452487e-03
between               between  9.456019e-03
reveals               reveals  9.456155e-03
princess             princess  9.463966e-03
ray                       ray  9.464747e-03
deeply                 deeply  9.467316e-03
man's                   man's  9.493118e-03
familiar             familiar  9.521260e-03
danny                   danny  9.528138e-03
tale                     tale  9.532021e-03
key                       key  9.533271e-03
murder                 murder  9.534662e-03
henry                   henry  9.538394e-03
impressive         impressive  9.539218e-03
cultural             cultural  9.568861e-03
notorious           notorious  9.574479e-03
british               british  9.576807e-03
holds                   holds  9.597372e-03
queen                   queen  9.613072e-03
court                   court  9.617318e-03
costumes             costumes  9.632593e-03
fictional           fictional  9.639632e-03
locations           locations  9.647718e-03
addition             addition  9.653023e-03
driven                 driven  9.671567e-03
christopher       christopher  9.673660e-03
present               present  9.679716e-03
engaging             engaging  9.686506e-03
delivers             delivers  9.692523e-03
strong                 strong  9.694275e-03
helps                   helps  9.715188e-03
rival                   rival  9.739961e-03
service               service  9.745319e-03
version               version  9.746041e-03
war                       war  9.768816e-03
leader                 leader  9.783262e-03
peter                   peter  9.783520e-03
tradition           tradition  9.788929e-03
finale                 finale  9.800177e-03
sharp                   sharp  9.807782e-03
environment       environment  9.820970e-03
former                 former  9.832779e-03
effectively       effectively  9.834299e-03
lovers                 lovers  9.894762e-03
russell               russell  9.899309e-03
carries               carries  9.912491e-03
ford                     ford  9.914011e-03
ted                       ted  9.917071e-03
welles                 welles  9.930184e-03
relationships   relationships  9.951018e-03
1950s                   1950s  9.957714e-03
established       established  9.967400e-03
replaced             replaced  9.990021e-03
detective           detective  9.991709e-03
laura                   laura  9.996870e-03
melodrama           melodrama  1.000033e-02
social                 social  1.000614e-02
wonderful           wonderful  1.000919e-02
